category,serving_size,calories,protein,total_fat,carbohydrate,fiber,sugars
Dairy,100.0,351,25.58,27.0,2.14,0.0,0.56
Dairy,100.0,369,21.54,31.0,2.0,0.0,0.0
Grains,100.0,270,7.0,7.4,48.3,4.6,8.22
Beverages,100.0,268,0.0,0.0,66.91,0.0,46.55
Fruits,100.0,299,3.07,0.5,79.18,3.7,59.19
Fruits,100.0,32,0.67,0.3,7.68,2.0,4.89
Seafood,100.0,90,19.31,0.8,0.0,0.0,0.0
Grains,100.0,360,23.15,9.7,51.8,13.2,0.0
Grains,100.0,342,11.31,1.7,75.9,12.2,0.41
Grains,100.0,216,15.55,4.3,64.51,42.8,0.41
Fruits,100.0,44,0.88,0.6,10.18,4.3,0.0
Miscellaneous Ingredients,100.0,305,15.98,15.0,55.17,21.1,0.0
Oil,100.0,884,0.0,100.0,0.0,0.0,0.0
Sauce,100.0,157,12.56,9.8,4.57,1.4,2.27
Legumes and seeds,100.0,93,5.6,2.1,17.31,11.0,6.3
Vegetables,100.0,42,2.8,0.6,8.32,1.7,0.0
Fruits,100.0,246,0.3,0.0,66.3,0.7,60.0
Dairy,100.0,339,11.73,0.5,73.45,0.0,73.45
Dairy,100.0,24,0.76,0.1,5.12,0.0,5.12
Vegetables,100.0,49,0.9,0.7,9.77,2.5,4.8
Snacks,100.0,433,11.8,13.0,67.1,0.2,24.2
Vegetables,100.0,31,1.24,0.2,7.3,3.1,3.93
Eggs,100.0,592,48.05,44.0,1.13,0.0,0.56
Fruits,100.0,311,5.2,10.0,51.5,2.5,0.0
Snacks,100.0,382,4.6,8.1,77.0,0.0,65.5
Dairy,100.0,136,3.5,11.0,7.1,0.0,0.22
Eggs,100.0,382,81.1,0.0,7.8,0.0,5.4
Grains,100.0,101,3.99,0.3,21.34,1.8,0.73
Poultry,100.0,224,23.64,13.0,3.64,3.6,0.0
Grains,100.0,365,9.42,4.7,74.26,0.0,0.0
Red Meat,100.0,197,18.58,13.0,0.0,0.0,0.0
Grains,100.0,340,10.69,2.0,75.36,12.7,0.41
Fruits,100.0,73,0.66,0.5,18.4,7.0,0.0
Legumes and seeds,100.0,387,6.15,24.0,40.75,0.0,0.0
Fruits,100.0,45,0.7,0.2,10.4,0.2,8.4
Sauce,100.0,161,0.98,11.0,14.12,1.7,10.83
Vegetables,100.0,31,1.43,0.2,7.37,2.1,3.83
Fruits,100.0,43,1.39,0.5,9.61,5.3,4.88
Vegetables,100.0,109,4.8,0.6,23.54,7.8,0.0
Dairy,100.0,327,20.05,27.0,0.49,0.0,0.49
Fruits,100.0,52,1.2,0.7,11.94,6.5,4.42
Grains,100.0,224,8.36,0.9,85.64,79.0,0.0
Grains,100.0,243,8.9,4.6,43.5,4.9,4.67
Vegetables,100.0,11,0.92,0.1,2.32,0.0,0.0
Miscellaneous Ingredients,100.0,389,0.0,0.0,99.77,0.0,97.81
Poultry,100.0,134,22.77,4.0,0.0,0.0,0.0
Snacks,100.0,378,4.2,2.7,84.0,1.6,45.42
Seafood,100.0,98,18.99,1.9,0.0,0.0,0.0
Grains,100.0,112,3.79,0.2,23.22,1.4,0.1
Vegetables,100.0,43,3.46,1.1,7.02,2.1,0.0
Miscellaneous Ingredients,100.0,285,19.93,6.0,52.04,29.8,0.0
Miscellaneous Ingredients,100.0,44,3.29,0.7,8.41,6.8,0.0
Eggs,100.0,153,6.28,6.1,18.12,3.1,0.99
Grains,100.0,316,13.35,21.0,49.69,21.0,0.9
Grains,100.0,357,9.82,1.3,76.68,8.0,0.93
Miscellaneous Ingredients,100.0,313,7.61,8.4,74.97,26.3,0.0
Miscellaneous Ingredients,100.0,311,10.76,6.7,68.47,28.0,0.0
Fruits,100.0,22,0.35,0.2,6.9,0.3,2.52
Miscellaneous Ingredients,100.0,80,1.82,0.8,17.77,2.0,1.7
Seafood,100.0,902,0.0,100.0,0.0,0.0,0.0
Seafood,100.0,187,16.04,9.3,9.41,0.0,0.0
Fruits,100.0,97,1.5,0.2,25.0,10.6,0.0
Fruits,100.0,57,0.74,0.3,14.49,2.4,9.96
Dairy,100.0,368,23.41,30.0,1.12,0.0,1.12
Vegetables,100.0,22,2.2,0.1,4.33,3.7,0.5
Dairy,100.0,387,23.37,31.0,4.78,0.0,0.0
Grains,100.0,255,10.7,1.2,53.3,3.6,1.63
Red Meat,100.0,902,0.0,100.0,0.0,0.0,0.0
Fruits,100.0,47,0.85,0.2,12.02,1.7,9.18
Legumes and seeds,100.0,81,5.42,0.4,14.45,5.7,5.67
